"","c..Ifitm1....Fcgbp....Kng2....Krt6a....Anxa8....Sprr2f....Fxyd5..."
"14893","Gm14739"
"14894","Gm15240"
"14895","Gm11440"
"14896","Defa-ps16"
"14897","Gm12641"
"14898","Gm11462"
"14899","Gm12785"
"14900","Gm6067"
"14901","Gm13462"
"14902","Cyp2j8"
"14903","Gm14811"
"14904","Gm15095"
"14905","Gm14881"
"14906","Gm14103"
"14907","Gm13355"
"14908","Gm11540"
"14909","Gm12587"
"14910","Gm11920"
"14911","Gm7834"
"14912","Gm13359"
"14913","Gm12507"
"14914","Gm15504"
"14915","Gm8036"
"14916","Naip3"
"14917","Gm15303"
"14918","Gm12731"
"14919","Gm6884"
"14920","Gm15131"
"14921","Gm12465"
"14922","Gm6754"
"14923","Gm14614"
"14924","Gm16082"
"14925","Gm14581"
"14926","Gm15214"
"14927","Gm13517"
"14928","Gm13672"
"14929","Gm14363"
"14930","Gm11911"
"14931","Olfr1274-ps"
"14932","Polr2k-ps"
"14933","Olfr1149-ps1"
"14934","Gm12318"
"14935","Gm11389"
"14936","Rps13-ps6"
"14937","Gm13557"
"14938","Gm14052"
"14939","Rps10-ps3"
"14940","Gm11566"
"14941","Gm11848"
"14942","Gm15126"
"14943","Gm13975"
"14944","Gm15678"
"14945","Gm13250"
"14946","Gm12392"
"14947","Gm15715"
"14948","Gm12053"
"14949","Gm1335"
"14950","Gm14687"
"14951","Gm12816"
"14952","Gm13555"
"14953","Gm15331"
"14954","Rps15a-ps6"
"14955","Gm11804"
"14956","Gm14982"
"14957","Gm11829"
"14958","Gm6373"
"14959","Gm13140"
"14960","Gm13720"
"14961","Gm14561"
"14962","Gm14910"
"14963","Gm8087"
"14964","Gm9083"
"14965","Olfr334-ps1"
"14966","Gm15959"
"14967","Gm14900"
"14968","Gm13233"
"14969","Gm11606"
"14970","Gm11388"
"14971","Gm16100"
"14972","Gm14082"
"14973","Gm11242"
"14974","Gm12285"
"14975","Gm15001"
"14976","Gm12986"
"14977","Gm14140"
"14978","Gm13356"
"14979","Gm14795"
"14980","Olfr268-ps1"
"14981","Gm14533"
"14982","Gm14980"
"14983","Gm14882"
"14984","Gm13195"
"14985","Gm12748"
"14986","Gm14751"
"14987","Gm11800"
"14988","Gm16431"
"14989","Gm13350"
"14990","Gm13668"
"14991","Gm11845"
"14992","Gm14670"
"14993","Gm11980"
"14994","Gm11408"
"14995","Gm14126"
"14996","Gm13172"
"14997","Amy2b"
"14998","Gm13223"
"14999","Gm14667"
"15000","Gm12765"
"15001","Gm15531"
"15002","Gm14153"
"15003","Gm4760"
"15004","Gm12438"
"15005","Gm15385"
"15006","Gm4908"
"15007","Gm11356"
"15008","Gm14578"
"15009","Gm4732"
"15010","Gm6044"
"15011","Gm13430"
"15012","Gm6429"
"15013","Gm12393"
"15014","Gm15309"
"15015","Gm5303"
"15016","Gm12876"
"15017","Gm14073"
"15018","Gm14620"
"15019","Rpl10-ps4"
"15020","Gm14790"
"15021","Gm13386"
"15022","Gm15171"
"15023","Gm11609"
"15024","Gm14724"
"15025","Gm15854"
"15026","Gm15578"
"15027","Fthl17-ps2"
"15028","Vmn1r-ps126"
"15029","Gm14109"
"15030","Gm15189"
"15031","Gm12723"
"15032","Gm12210"
"15033","Gm14560"
"15034","Gm11504"
"15035","Gm15170"
"15036","Gm11792"
"15037","Cyp4a29"
"15038","Gm15752"
"15039","Gm12288"
"15040","Gm13424"
"15041","Gm14334"
"15042","Gm12579"
"15043","Olfr1103-ps1"
"15044","Gm11380"
"15045","Gm11852"
"15046","Gm4913"
"15047","Gm12459"
"15048","Gm11892"
"15049","Gm11866"
"15050","Gm12201"
"15051","Gm13511"
"15052","Gm14655"
"15053","Gm12180"
"15054","Gm15967"
"15055","Gm4917"
"15056","Gm11429"
"15057","Gm11344"
"15058","Gm8648"
"15059","Vmn1r-ps97"
"15060","Gm6580"
"15061","Gm12321"
"15062","Gm13409"
"15063","Gm13064"
"15064","Gm7190"
"15065","Gm12206"
"15066","Gm7820"
"15067","Gm12187"
"15068","Gm15007"
"15069","Gm13903"
"15070","Gm13828"
"15071","Gm15575"
"15072","Olfr1146-ps1"
"15073","Gm11805"
"15074","Olfr404-ps1"
"15075","Cyp4a30-ps"
"15076","Gm15571"
"15077","Gm15272"
"15078","Gm13581"
"15079","Gm15066"
"15080","Gm12080"
"15081","Gm12388"
"15082","Gm11421"
"15083","Gm13788"
"15084","Gm7821"
"15085","Gm11338"
"15086","Gm14780"
"15087","Gm11522"
"15088","Gm14869"
"15089","Gm13737"
"15090","Gm14875"
"15091","Gm11912"
"15092","Rbmx2-ps"
"15093","Hbb-bh3"
"15094","Gm11410"
"15095","Gm12919"
"15096","Gm14528"
"15097","Gm12427"
"15098","Gm11255"
"15099","Gm15215"
"15100","Gm11546"
"15101","Gm11779"
"15102","Gm11862"
"15103","Gm14158"
"15104","Gm15096"
"15105","Gm11796"
"15106","Gm13406"
"15107","Gm7222"
"15108","Hspe1-ps4"
"15109","Mup-ps1"
"15110","Gm13259"
"15111","Gm15659"
"15112","Gm14668"
"15113","Gm15180"
"15114","Gm11185"
"15115","Gm6574"
"15116","Gm14623"
"15117","Gm5403"
"15118","Gm15300"
"15119","Gm13210"
"15120","Gm7108"
"15121","Gm15116"
"15122","Gm12738"
"15123","Kars-ps1"
"15124","Gm15568"
"15125","Gm5939"
"15126","Gm13460"
"15127","Gm14470"
"15128","Gm14874"
"15129","Gm11461"
"15130","Olfr1127-ps1"
"15131","Gm11511"
"15132","Gm13254"
"15133","Gm13498"
"15134","Gm12384"
"15135","Gm12550"
"15136","Zcchc9-ps"
"15137","Gm4993"
"15138","Gm15376"
"15139","Gm14589"
"15140","Pex13-ps"
"15141","Gm13332"
"15142","Gm15815"
"15143","Csnk2a1-ps"
"15144","Gm8812"
"15145","Gm15030"
"15146","Gm13679"
"15147","Gm12010"
"15148","Mup-ps28"
"15149","Gm14957"
"15150","Gm12638"
"15151","Vmn1r-ps114"
"15152","Gm12085"
"15153","Gm12332"
"15154","Gm12110"
"15155","Gm13315"
"15156","Gm15926"
"15157","Gm5760"
"15158","Gm5643"
"15159","Olfr1374-ps1"
"15160","Gm11742"
"15161","Gm11871"
"15162","Gm15185"
"15163","Gm15192"
"15164","Gm11284"
"15165","Gm13935"
"15166","Gm14931"
"15167","Gm14997"
"15168","Gm14220"
"15169","Gm11859"
"15170","Gm12400"
"15171","Gm7599"
"15172","Magea7-ps"
"15173","Gm13579"
"15174","Gm13397"
"15175","Olfr1332-ps1"
"15176","Gm12475"
"15177","Gm14238"
"15178","Gm14237"
"15179","Gm14666"
"15180","Gm6491"
"15181","Gm8260"
"15182","Gm13913"
"15183","Vmn1r-ps99"
"15184","Gm9060"
"15185","Gm15783"
"15186","Gm14907"
"15187","Gm11708"
"15188","Olfr1004-ps1"
"15189","Gm12656"
"15190","Olfr360"
"15191","Gm8606"
"15192","Gm12237"
"15193","Gm12895"
"15194","Gm14887"
"15195","Gm15332"
"15196","Gm11422"
"15197","Gm15057"
"15198","Gm11882"
"15199","Gm12653"
"15200","Gm4919"
"15201","Scgb2b22-ps"
"15202","Olfr595-ps1"
"15203","Gm12813"
"15204","Gm11411"
"15205","Gm15426"
"15206","Gm11860"
"15207","Gm11550"
"15208","Gm13681"
"15209","Gm13121"
"15210","Gm6335"
"15211","Gm15194"
"15212","Gm11203"
"15213","Gm13458"
"15214","Gm15033"
"15215","Gm13506"
"15216","Gm13041"
"15217","Gm13019"
"15218","Gm8410"
"15219","Gm13176"
"15220","Gm11340"
"15221","Gm14300"
"15222","Vmn1r-ps110"
"15223","Gm14840"
"15224","Gm15378"
"15225","Olfr269-ps1"
"15226","Olfr1035-ps1"
"15227","Gm14485"
"15228","Gm15665"
"15229","Gm14776"
"15230","Gm15604"
"15231","Gm13221"
"15232","Gm13992"
"15233","Gm12007"
"15234","Gm14591"
"15235","Gm13006"
"15236","Gm13437"
"15237","Gm14878"
"15238","Gm12760"
"15239","Gm15824"
"15240","Gm11471"
"15241","Gm15187"
"15242","Gm5402"
"15243","Gm14491"
"15244","Rpl7a-ps12"
"15245","Gm15329"
"15246","Gm14768"
"15247","Gm15038"
"15248","Gm12826"
"15249","Gm11904"
"15250","Gm13487"
"15251","Gm14619"
"15252","Gm11445"
"15253","Gm14905"
"15254","Gm13338"
"15255","Gm15037"
"15256","Gm13108"
"15257","Cyp4b1-ps2"
"15258","Gm12935"
"15259","Gm12501"
"15260","Gm4909"
"15261","Gm15225"
"15262","Gm15840"
"15263","Gm9431"
"15264","Gm14281"
"15265","Nsa2-ps2"
"15266","Gm12118"
"15267","Gm13491"
"15268","Gm13207"
"15269","Gm9440"
"15270","Gm15375"
"15271","Rps8-ps2"
"15272","Gm14574"
"15273","Gm14521"
"15274","Gm13888"
"15275","Gm8534"
"15276","Gm11784"
"15277","Gm14940"
"15278","Gm12423"
"15279","Gm14515"
"15280","Gm15044"
"15281","Gm12873"
"15282","Gm13877"
"15283","Gm14172"
"15284","Gm14609"
"15285","Gm12255"
"15286","Gm13407"
"15287","Gm6027"
"15288","Defa-ps4"
"15289","Gm13478"
"15290","Gm12749"
"15291","Olfr647-ps1"
"15292","Gm11881"
"15293","Gm14577"
"15294","Gm15196"
"15295","Gm14998"
"15296","Gm13674"
"15297","Gm6418"
"15298","Mup-ps21"
"15299","Gm12001"
"15300","Gm13867"
"15301","H2-M6-ps"
"15302","Gm14381"
"15303","Gm15808"
"15304","Gm12466"
"15305","Gm12585"
"15306","Olfr1379-ps1"
"15307","Gm14663"
"15308","Oat-rs1"
"15309","Gm13320"
"15310","Tpt1-ps1"
"15311","Gm13321"
"15312","Gm11514"
"15313","Gm11227"
"15314","Gm13729"
"15315","Gm11989"
"15316","Gm12035"
"15317","Gm9043"
"15318","Gm12896"
"15319","Gm14939"
"15320","Gm5942"
"15321","Gm13234"
"15322","Gm11929"
"15323","Gm11941"
"15324","Gm14711"
"15325","Gm12770"
"15326","Gm13666"
"15327","Gm14671"
"15328","Gm11849"
"15329","Gm7312"
"15330","Gm15709"
"15331","Gm16411"
"15332","Gm12432"
"15333","Rpsa-ps3"
"15334","Gm14186"
"15335","Gm15393"
"15336","Gm15394"
"15337","Gm15885"
"15338","Gm8688"
"15339","Gm14741"
"15340","Gm8051"
"15341","Gm13916"
"15342","Gm13614"
"15343","Gm13722"
"15344","Gm9200"
"15345","Gm14805"
"15346","Gm14579"
"15347","Gm12821"
"15348","Gm12028"
"15349","Gm14911"
"15350","Gm14810"
"15351","Gm14893"
"15352","Gm15916"
"15353","Gm12640"
"15354","Gm16007"
"15355","Gm8832"
"15356","Pou2f3-rs1"
"15357","Gm12795"
"15358","Gm12878"
"15359","H2afb3"
"15360","Gm5390"
"15361","Gm15529"
"15362","Gm15570"
"15363","Gm15188"
"15364","Gm2030"
"15365","Gm11262"
"15366","Gm15602"
"15367","Gm13366"
"15368","Gm11786"
"15369","Gm13312"
"15370","Gm11480"
"15371","Gm15175"
"15372","Gm14754"
"15373","Gm8876"
"15374","Gm9225"
"15375","Gm13148"
"15376","Gm13876"
"15377","Gm12787"
"15378","Gm14086"
"15379","Gm6088"
"15380","Gm14229"
"15381","Gm13357"
"15382","Gm11524"
"15383","Gm11384"
"15384","Gm11875"
"15385","Gm12099"
"15386","Gm12245"
"15387","Gm11258"
"15388","Gm11853"
"15389","Gm11473"
"15390","Gm12152"
"15391","Gm14903"
"15392","Gm11433"
"15393","Gm14575"
"15394","Gm12358"
"15395","Gm11334"
"15396","Gm5648"
"15397","Gm14304"
"15398","Vmn1r-ps111"
"15399","Gm11367"
"15400","Gm9119"
"15401","Gm6640"
"15402","Pcna-ps1"
"15403","Gm6539"
"15404","Gm14034"
"15405","Gm12412"
"15406","Gm13504"
"15407","Gm13743"
"15408","Gm14094"
"15409","Gm14465"
"15410","Gm13914"
"15411","Gm12687"
"15412","Gm14932"
"15413","Gm4912"
"15414","Gm14428"
"15415","Gm13153"
"15416","Olfr1117-ps1"
"15417","Gm14688"
"15418","Gm15078"
"15419","Gm3931"
"15420","Gm5883"
"15421","Fthl17-ps1"
"15422","Gm13865"
"15423","Gm15161"
"15424","Gm12901"
"15425","Gm7700"
"15426","Adgrd2-ps"
"15427","Rpl23a-ps14"
"15428","Gm11865"
"15429","Gm13854"
"15430","Sh3d2c-ps1"
"15431","Gm16202"
"15432","Gm13035"
"15433","Gm12495"
"15434","Prdx6-ps2"
"15435","Gm11456"
"15436","Gm15297"
"15437","Vmn1r-ps3"
"15438","Gm12421"
"15439","Gm13543"
"15440","Gm14727"
"15441","Gm13100"
"15442","Gm14108"
"15443","Gm14534"
"15444","Gm12014"
"15445","Gm12814"
"15446","Gm14559"
"15447","Gm14524"
"15448","Pgam1-ps1"
"15449","Gm11516"
"15450","Gm15335"
"15451","Gm11405"
"15452","Gm15362"
"15453","Gm11689"
"15454","Gm15988"
"15455","Gm15566"
"15456","Gm14837"
"15457","Gm13473"
"15458","Gm13361"
"15459","Gm15094"
"15460","Gm14775"
"15461","Gm12728"
"15462","Gm14842"
"15463","Gm11660"
"15464","Gm14729"
"15465","Gm11888"
"15466","Rps18-ps2"
"15467","Gm11644"
"15468","Gm6092"
"15469","Rpl12-ps2"
"15470","Gm14274"
"15471","Gm16123"
"15472","Gm15670"
"15473","Gm13369"
"15474","Cyp2j7-ps2"
"15475","Gm12455"
"15476","Gm13676"
"15477","Gm14848"
"15478","Gm12131"
"15479","Gm13466"
"15480","Gm15110"
"15481","Gm14713"
"15482","Gm5054"
"15483","Gm5133"
"15484","Gm13435"
"15485","Gm14400"
"15486","Gm14908"
"15487","Gm14631"
"15488","Amd-ps1"
"15489","Olfr1376-ps1"
"15490","Gm15712"
"15491","Gm15006"
"15492","Gm8839"
"15493","Gm14248"
"15494","Gm11898"
"15495","Gm14427"
"15496","Gm14765"
"15497","Gm1947"
"15498","Gm12485"
"15499","Gm7071"
"15500","Gm14571"
"15501","Gm13797"
"15502","Xlr3d-ps"
"15503","Gm7309"
"15504","Gm13477"
"15505","Gm12365"
"15506","Gm13007"
"15507","Olfr1175-ps"
"15508","Gm12584"
"15509","Gm14979"
"15510","Gm12003"
"15511","Gm13313"
"15512","Gm9599"
"15513","Gm13719"
"15514","Gm13472"
"15515","Gm12893"
"15516","Gm12477"
"15517","Gm12442"
"15518","Gm11761"
"15519","Gm16479"
"15520","Gm11928"
"15521","Vmn1r-ps92"
"15522","Gm7494"
"15523","Gm13831"
"15524","Gm11439"
"15525","Gm14740"
"15526","Hspe1-ps6"
"15527","Gm11369"
"15528","Gm15388"
"15529","Olfr409-ps1"
"15530","Gm11930"
"15531","Gm12441"
"15532","Gm13347"
"15533","Gm11489"
"15534","Gm12074"
"15535","Scgb2b23-ps"
"15536","Gm14843"
"15537","Gm7340"
"15538","Gm13294"
"15539","Gm12885"
"15540","Gm5405"
"15541","Gm12805"
"15542","Gm15355"
"15543","Gm6447"
"15544","Gm13604"
"15545","Gm5391"
"15546","Gm13932"
"15547","Gm15476"
"15548","Gm12093"
"15549","Gm14352"
"15550","Tpi-rs8"
"15551","Gm14987"
"15552","Gm649"
"15553","Gm12304"
"15554","Gm12012"
"15555","Gm14783"
"15556","Gm4991"
"15557","Gm10600"
"15558","Gm13042"
"15559","Gm14518"
"15560","Gm11438"
"15561","Gm15515"
"15562","Gm12368"
"15563","Gm14829"
"15564","Cct3-ps1"
"15565","Gm12448"
"15566","Gm14451"
"15567","Gm11298"
"15568","Gm12889"
"15569","Scgb1b26-ps"
"15570","Gm14733"
"15571","Gm15242"
"15572","Gm11359"
"15573","Olfr122"
"15574","Gm7158"
"15575","Gm12897"
"15576","Gm14466"
"15577","Gm12179"
"15578","Gm14785"
"15579","Gm12361"
"15580","Gm12742"
"15581","Gm12601"
"15582","Gm4918"
"15583","Gm13725"
"15584","Gm15707"
"15585","Gm15203"
"15586","Gm13482"
"15587","Gm15115"
"15588","Olfr1050-ps1"
"15589","Gm15081"
"15590","Gm14802"
"15591","Gm13459"
"15592","Gm16053"
"15593","Gm14215"
"15594","Gm13664"
"15595","Mageb8-ps"
"15596","Gm5060"
"15597","Gm15363"
"15598","Gm14650"
"15599","Gm12375"
"15600","Gm12468"
"15601","Gm15311"
"15602","Gm12607"
"15603","Gm11618"
"15604","Gm16465"
"15605","Gm12808"
"15606","Gm11649"
"15607","Gm12920"
"15608","Prdx2-rs3"
"15609","Gm7790"
"15610","Gm14653"
"15611","Gm15113"
"15612","Gm12047"
"15613","Gm14245"
"15614","Rhox7-ps1"
"15615","Gm13302"
"15616","Gm12969"
"15617","Gm11956"
"15618","Gm7209"
"15619","Gm14175"
"15620","Olfr1096-ps1"
"15621","Rpl21-ps9"
"15622","Gm11895"
"15623","Gm8754"
"15624","Wsb2-ps"
"15625","Gm5832"
"15626","Gm16459"
"15627","Gm6276"
"15628","Gm11259"
"15629","Gm12376"
"15630","Gm13983"
"15631","Gm8855"
"15632","Gm16423"
"15633","Gm7416"
"15634","Gm12991"
"15635","Gm12617"
"15636","Gm14551"
"15637","Gm13732"
"15638","Gm14647"
"15639","Gm11997"
"15640","Gm11833"
"15641","Gm14984"
"15642","Gm12042"
"15643","Gm11745"
"15644","Gm14904"
"15645","Gm14945"
"15646","Gm12004"
"15647","Rhox3b-ps"
"15648","Gm8916"
"15649","Gm15263"
"15650","Gm13046"
"15651","Gm16412"
"15652","Gm4996"
"15653","Gm5934"
"15654","Gm15159"
"15655","Xlr4d-ps"
"15656","Gm11573"
"15657","Gm12306"
"15658","Gm6591"
"15659","Gm11285"
"15660","Gm11910"
"15661","Gm8310"
"15662","Gm14600"
"15663","Gm11952"
"15664","Olfr349-ps1"
"15665","Gm11631"
"15666","Gm15227"
"15667","Gm12872"
"15668","Gm15782"
"15669","Gm5761"
"15670","Gm14099"
"15671","Gm11245"
"15672","Gm5843"
"15673","Gm13961"
"15674","Gm11834"
"15675","Vmn1r-ps135"
"15676","Gm14922"
"15677","Gm13422"
"15678","Gm17014"
"15679","Sult2a-ps3"
"15680","Gm14629"
"15681","Gm13578"
"15682","Gm13700"
"15683","Gm15794"
"15684","Gm4992"
"15685","Gm15112"
"15686","Gm8421"
"15687","Gm13566"
"15688","Olfr1063-ps1"
"15689","Gm14989"
"15690","Gm12351"
"15691","Gm11624"
"15692","Gm13106"
"15693","Gm13588"
"15694","Gm8757"
"15695","Gm15844"
"15696","Gm13169"
"15697","Hmgb1-ps1"
"15698","Gm11704"
"15699","Gm15982"
"15700","Gm12856"
"15701","Gm13930"
"15702","Vmn1r207-ps"
"15703","Gm9085"
"15704","Gm14915"
"15705","Gm15075"
"15706","Gm12380"
"15707","Gm14395"
"15708","Gm11577"
"15709","Gm11617"
"15710","Gm12186"
"15711","Gm7113"
"15712","Gm15576"
"15713","Gm14652"
"15714","Gm13345"
"15715","Gm15061"
"15716","Gm11251"
"15717","Gm11901"
"15718","Gm13902"
"15719","Gm13924"
"15720","Gm12240"
"15721","Gm11954"
"15722","Gm13457"
"15723","Gm16420"
"15724","Gm5287"
"15725","Gm11372"
"15726","Gm13508"
"15727","Gm11759"
"15728","Gm11890"
"15729","Gm15237"
"15730","Gm11858"
"15731","Taar7c-ps"
"15732","Gm12009"
"15733","Gm13474"
"15734","Rplp1-ps1"
"15735","Rpl36-ps10"
"15736","Gm12851"
"15737","Gm8089"
"15738","Gm15167"
"15739","Gm13282"
"15740","Gm6823"
"15741","Gm15372"
"15742","Gm12874"
"15743","Gm9089"
"15744","Gm13711"
"15745","Gm11584"
"15746","Gm11926"
"15747","Gm5398"
"15748","Gm15593"
"15749","Gm6584"
"15750","Gm8061"
"15751","Gm12062"
"15752","Gm14070"
"15753","Gm12792"
"15754","Gm13811"
"15755","Gm15168"
"15756","Gm11949"
"15757","Gm12225"
"15758","Gm14825"
"15759","Gm11814"
"15760","Gm7973"
"15761","Gm15488"
"15762","Gm8145"
"15763","Gm14876"
"15764","Gm12387"
"15765","Gm13973"
"15766","Gm12244"
"15767","Gm12337"
"15768","Gm13426"
"15769","Gm8080"
"15770","4933405O20Rik"
"15771","Olfr637-ps1"
"15772","Gm11781"
"15773","Gm13076"
"15774","Gm14463"
"15775","Gm15383"
"15776","Gm13784"
"15777","Gm14020"
"15778","Gm14994"
"15779","Gm15162"
"15780","Gm14566"
"15781","Gm11409"
"15782","Gm12267"
"15783","Gm13550"
"15784","Gm12310"
"15785","Gm11256"
"15786","Defa-ps11"
"15787","Gm14976"
"15788","Gm11597"
"15789","Gm12040"
"15790","Rpl36a-ps4"
"15791","Olfr588-ps1"
"15792","Gm14142"
"15793","Gm14541"
"15794","Gm12417"
"15795","Gm14784"
"15796","Gm15177"
"15797","Gm13224"
"15798","Gm12628"
"15799","Gm5396"
"15800","Gm8317"
"15801","Gm11702"
"15802","Gm12189"
"15803","Gm13232"
"15804","Gm11972"
"15805","Gm14770"
"15806","Gm15054"
"15807","Gm14914"
"15808","Gm13451"
"15809","Cyp2j15-ps"
"15810","Gm14576"
"15811","Gm6977"
"15812","Gm13535"
"15813","Gm12143"
"15814","Gm13533"
"15815","Olfr1235-ps1"
"15816","Scgb2b25-ps"
"15817","Gm13755"
"15818","Gm14331"
"15819","Gm6954"
"15820","Gm7856"
"15821","Gm12194"
"15822","Gm8216"
"15823","Gm14645"
"15824","Gm11743"
"15825","Gm12151"
"15826","Gm14593"
"15827","Mup-ps20"
"15828","Gm11950"
"15829","Gm11257"
"15830","Gm13122"
"15831","Gm13809"
"15832","Vmn1r-ps128"
"15833","Gm11987"
"15834","Gm14125"
"15835","Gm14438"
"15836","Gm6500"
"15837","Gm15550"
"15838","Gm12820"
"15839","Gm14531"
"15840","Gm15019"
"15841","Gm8163"
"15842","Gm8840"
"15843","Gm11599"
"15844","Gm13494"
"15845","Gm12619"
"15846","Olfr1267-ps1"
"15847","Gm14986"
"15848","Gm13531"
"15849","Gm6141"
"15850","Gm3928"
"15851","Gm16198"
"15852","Gm15305"
"15853","Cyp4a30b"
"15854","Gm14608"
"15855","Gm13085"
"15856","Gm14792"
"15857","Olfr590-ps1"
"15858","Gm11268"
"15859","Gm11352"
"15860","Gm13692"
"15861","Gm11797"
"15862","Gm8202"
"15863","Gm2288"
"15864","Gm15313"
"15865","Gm15142"
"15866","Gm11572"
"15867","Gm14626"
"15868","Gm15442"
"15869","Gm14113"
"15870","Rps2-ps4"
"15871","Gm13255"
"15872","Gm11637"
"15873","Gm14855"
"15874","Gm15302"
"15875","Gm15238"
"15876","Gm12957"
"15877","Tmc4-ps"
"15878","Gm3267"
"15879","Gm13370"
"15880","Gm13873"
"15881","Gm13852"
"15882","Olfr379-ps1"
"15883","Gm15425"
"15884","Gm13967"
"15885","Rps29-ps"
"15886","Gm14101"
"15887","Gm8111"
"15888","Gm15087"
"15889","Gm14657"
"15890","Gm9133"
"15891","Gm15666"
"15892","Gm11576"
"15893","Gm12513"
"15894","Olfr1169-ps1"
"15895","Gm11510"
"15896","Gm12044"
"15897","Gm11270"
"15898","Gm12837"
"15899","Gm23463"
"15900","Gm22276"
"15901","Gm22275"
"15902","Gm25108"
"15903","Gm25109"
"15904","Gm25105"
"15905","Gm25102"
"15906","n-R5s48"
"15907","Gm23426"
"15908","Gm25945"
"15909","Gm23429"
"15910","Gm23428"
"15911","Gm23430"
"15912","Gm26254"
"15913","Gm26255"
"15914","Gm26253"
"15915","n-R5s214"
"15916","n-R5s32"
"15917","Gm26252"
"15918","n-R5s207"
"15919","Gm26251"
"15920","Gm26256"
"15921","Gm26257"
"15922","Gm24595"
"15923","Gm24594"
"15924","Gm24597"
"15925","Gm24596"
"15926","Gm24592"
"15927","Gm24593"
"15928","n-R5s73"
"15929","Mir1907"
"15930","Gm24598"
"15931","Gm22957"
"15932","Gm22958"
"15933","n-R5s154"
"15934","Gm22959"
"15935","n-R5s47"
"15936","Gm22960"
"15937","n-R5s24"
"15938","Gm22955"
"15939","n-R5s23"
"15940","Gm25784"
"15941","Gm25783"
"15942","Gm25782"
"15943","Gm25781"
"15944","Gm26425"
"15945","n-R5s155"
"15946","Gm23788"
"15947","Gm23789"
"15948","n-R5s157"
"15949","Gm22106"
"15950","Gm22514"
"15951","Gm22107"
"15952","n-R5s98"
"15953","Gm25320"
"15954","Gm25319"
"15955","Gm23791"
"15956","Gm25318"
"15957","Gm25323"
"15958","Gm25322"
"15959","Gm25321"
"15960","Gm25325"
"15961","Gm22481"
"15962","Gm22482"
"15963","n-R5s179"
"15964","Mir1893"
"15965","Gm22479"
"15966","Mir1902"
"15967","Gm22480"
"15968","Gm22477"
"15969","CAAA01124250.1"
"15970","Gm24183"
"15971","Mir1903"
"15972","Gm24184"
"15973","n-R5s192"
"15974","Gm24185"
"15975","Gm25843"
"15976","n-R5s218"
"15977","Mir1906-1"
"15978","Gm25844"
"15979","Gm25842"
"15980","n-R5s84"
"15981","n-R5s45"
"15982","Gm23184"
"15983","n-R5s80"
"15984","Gm24937"
"15985","Gm24936"
"15986","n-R5s175"
"15987","DQ267100"
"15988","Gm24840"
"15989","Gm25270"
"15990","Gm25279"
"15991","Mir1906-2"
"15992","Gm26478"
"15993","n-R5s39"
"15994","Mir1895"
"15995","Mir1901"
"15996","Gm26477"
"15997","Gm26476"
"15998","Gm26480"
"15999","Gm26479"
"16000","n-R5s201"
"16001","Gm23657"
"16002","n-R5s30"
"16003","n-R5s198"
"16004","Gm23655"
"16005","Gm23661"
"16006","Gm25179"
"16007","Gm25178"
"16008","n-R5s15"
"16009","n-R5s174"
"16010","n-R5s68"
"16011","Gm25176"
"16012","Mir1896"
"16013","Gm22344"
"16014","Mir1898"
"16015","Gm22345"
"16016","n-R5s188"
"16017","Gm22342"
"16018","Gm23867"
"16019","n-R5s70"
"16020","Gm22201"
"16021","Gm23111"
"16022","n-R5s34"
"16023","Gm22205"
"16024","Gm23837"
"16025","Gm23118"
"16026","Gm22198"
"16027","Gm22199"
"16028","Gm24371"
"16029","n-R5s6"
"16030","n-R5s164"
"16031","Gm25047"
"16032","Gm25045"
"16033","Gm25103"
"16034","Gm25545"
"16035","n-R5s189"
"16036","Gm25544"
"16037","Gm25543"
"16038","Gm25112"
"16039","n-R5s159"
"16040","Gm23885"
"16041","Gm23886"
"16042","Gm23883"
"16043","Gm23884"
"16044","n-R5s14"
"16045","Gm23888"
"16046","Gm24383"
"16047","n-R5s21"
"16048","Gm24384"
"16049","Gm24385"
"16050","Gm24381"
"16051","Gm24378"
"16052","n-R5s76"
"16053","Gm22718"
"16054","Mir1904"
"16055","n-R5s150"
"16056","Gm22721"
"16057","Gm22720"
"16058","n-R5s61"
"16059","Mir1900"
"16060","Gm23213"
"16061","Gm23214"
"16062","Gm23211"
"16063","Gm24633"
"16064","Gm23206"
"16065","Gm26023"
"16066","n-R5s191"
"16067","Gm26027"
"16068","Gm26026"
"16069","Gm22024"
"16070","Gm22025"
"16071","Gm22026"
"16072","Gm22027"
"16073","n-R5s43"
"16074","n-R5s18"
"16075","Gm24896"
"16076","Gm24895"
"16077","Gm24894"
"16078","Gm24893"
"16079","Gm24892"
"16080","Gm22984"
"16081","n-R5s87"
"16082","Gm22986"
"16083","Gm22985"
"16084","n-R5s216"
"16085","n-R5s63"
"16086","Gm24628"
"16087","Gm24627"
"16088","Gm24631"
"16089","Gm24630"
"16090","n-R5s187"
"16091","Gm24632"
"16092","Gm24140"
"16093","Gm24141"
"16094","Mir1905"
"16095","Gm25806"
"16096","Gm25807"
"16097","Gm25808"
"16098","Gm25804"
"16099","Gm25805"
"16100","Gm25809"
"16101","Gm25294"
"16102","Gm25293"
"16103","n-R5s19"
"16104","Gm25295"
"16105","Gm25290"
"16106","Gm25292"
"16107","Mir1899"
"16108","Gm25288"
"16109","Gm22453"
"16110","Mir1894"
"16111","Gm22451"
"16112","Gm22452"
"16113","Gm13881"
"16114","Gm12798"
