"","c..Ifitm1....Fcgbp....Kng2....Krt6a....Anxa8....Sprr2f....Fxyd5..."
"565","Gm10311"
"566","Gm8494"
"567","Asun"
"568","Gm27038"
"569","Gm9625"
"570","Ccl25"
"571","Ddt"
"572","Fam173b"
"573","Junos"
"574","Tmsb15l"
"575","Rbm12b2"
"576","Rps23-ps1"
"577","Gm44168"
"578","Gm9770"
"579","Anapc15"
"580","Clec4a2"
"581","Snrpert"
"582","Slc22a21"
"583","Gm13248"
"584","Pqlc1"
"585","Gm10282"
"586","Ugt2b34"
"587","Ino80dos"
"588","Cmc2"
"589","Cd200r4"
"590","2310014F06Rik"
"591","Slc6a14"
"592","Slfn10-ps"
"593","Gm16505"
"594","Ttll5"
"595","A130014A01Rik"
"596","Whsc1"
"597","Sgol2a"
"598","Gsta2"
"599","Zfp811"
"600","BC017158"
"601","Gm35876"
"602","2610044O15Rik8"
"603","Sirpb1b"
"604","BC030867"
"605","Mrpl48-ps"
"606","RP23-425N12.2"
"607","RP23-60P23.9"
"608","Llph-ps2"
"609","Whsc1l1"
"610","Gm5424"
"611","Hist1h4k"
"612","Tcte3"
"613","Gm11361"
"614","Gm16314"
"615","Gm38220"
"616","Map1lc3b"
"617","Gm11545"
"618","Gm12992"
"619","Rpl21"
"620","Ighv1-62-2"
"621","Zfp810"
"622","Zgrf1"
"623","Tmem173"
"624","Gm9794"
"625","Gm43980"
"626","Gm10335"
"627","Gm26981"
"628","Pgk1-rs7"
"629","Gstt1"
"630","D930016D06Rik"
"631","Uchl4"
"632","Fam21"
"633","Rprl3"
"634","Gm37335"
"635","Fhl4"
"636","Aes"
"637","Prkcdbp"
"638","Gm24497"
"639","2900052L18Rik"
"640","RP24-300H3.1"
"641","Gm5864"
"642","Enthd2"
"643","Eif5a"
"644","Zfp429"
"645","Gm10778"
"646","Zfp939"
"647","Gm14097"
"648","3632451O06Rik"
"649","Fam132a"
"650","Ldoc1l"
"651","Gm5547"
"652","Gm15698"
"653","Gm9905"
"654","Nutf2-ps1"
"655","Gja1"
"656","5330417C22Rik"
"657","G6pdx"
"658","Sept8"
"659","Gatsl3"
"660","Gm43431"
"661","Gucy1b3"
"662","Gm4045"
"663","Gm14226"
"664","Gm37062"
"665","Zfp78"
"666","A730020M07Rik"
"667","Gm10126"
"668","Gm4631"
"669","Pnp"
"670","Cd300ld"
"671","Zfp764"
"672","Gm37116"
"673","Ccr5"
"674","Gm12254"
"675","Gm43493"
"676","Hist1h2be"
"677","Gm17189"
"678","Gm8909"
"679","Mirt1"
"680","Gm21092"
"681","Gm3362"
"682","Hist1h3i"
"683","AA386476"
"684","Emx2os"
"685","Gm14303"
"686","Fam175a"
"687","Fam49a"
"688","Cyp4f17"
"689","A830080D01Rik"
"690","Abcb1a"
"691","Gm38312"
"692","Siah1a"
"693","Zfp119b"
"694","Fam160b2"
"695","Cd244"
"696","Hist3h2ba"
"697","Zfp160"
"698","Gm6750"
"699","Gm28809"
"700","Smn1"
"701","Gm11127"
"702","H2-Bl"
"703","Spcs3"
"704","Gm10154"
"705","Phf11d"
"706","Qtrtd1"
"707","AI607873"
"708","Tmem254b"
"709","Tmem254a"
"710","Ear2"
"711","Zfp119a"
"712","2010001A14Rik"
"713","Gm8113"
"714","Crnde"
"715","Gm43012"
"716","Gm27517"
"717","Rplp0-ps1"
"718","Acot9"
"719","Gm15920"
"720","0610037L13Rik"
"721","1600014C23Rik"
"722","Pcdhb19"
"723","1700001L05Rik"
"724","Mir22hg"
"725","Zfp934"
"726","Gm37607"
"727","1110051M20Rik"
"728","2310010J17Rik"
"729","C530044C16Rik"
"730","Ctage5"
"731","E230001N04Rik"
"732","Tnfrsf12a"
"733","Gm12751"
"734","March3"
"735","Bod1"
"736","Gm6505"
"737","Gm12308"
"738","Ccdc64b"
"739","Zfp868"
"740","Gm44066"
"741","Mgl2"
"742","Gm44982"
"743","Gm12352"
"744","H2afy"
"745","2500002B13Rik"
"746","Prkrir"
"747","Wbscr27"
"748","Gimap3"
"749","Igkv8-27"
"750","2410089E03Rik"
"751","Gm10226"
"752","Zfp719"
"753","Gm15706"
"754","Glrp1"
"755","Gltscr1l"
"756","Gm14586"
"757","Gm43568"
"758","Mcts2"
"759","1010001N08Rik"
"760","BC030336"
"761","R74862"
"762","Igha"
"763","Ftx"
"764","Gm44514"
"765","Gm26621"
"766","E330013P04Rik"
"767","Zfp422-ps"
"768","H2-K2"
"769","Rpl37rt"
"770","Ccdc129"
"771","Fam109a"
"772","Gm15867"
"773","Runx2os1"
"774","Fdx1l"
"775","Rnaset2b"
"776","Gm36401"
"777","Apitd1"
"778","Ccdc53"
"779","Gm20689"
"780","1500002C15Rik"
"781","2810039B14Rik"
"782","Gm15922"
"783","Mrpl23"
"784","AW549877"
"785","Igkv4-68"
"786","Spop"
"787","Igkv3-12"
"788","Gm10241"
"789","Wdr78"
"790","Cfap53"
"791","Cd59b"
"792","Cirh1a"
"793","Gm3764"
"794","AI839979"
"795","Aim1l"
"796","Apol7a"
"797","Igkv6-32"
"798","Tmem45a"
"799","4930581F22Rik"
"800","Acat2"
"801","Gm13008"
"802","RP24-545I11.1"
"803","Cyr61"
"804","2310026L22Rik"
"805","Gm43621"
"806","4930452B06Rik"
"807","Gm10116"
"808","Milr1"
"809","Gm11734"
"810","Ccz1"
"811","Gm25890"
"812","Prokr1"
"813","Gltscr2"
"814","B630019K06Rik"
"815","Gm44383"
"816","Gm44342"
"817","Oog1"
"818","Gm26728"
"819","Cd55"
"820","Nsa2"
"821","Rps25-ps1"
"822","Atp5l"
"823","Ighv8-8"
"824","Uox"
"825","Zfp263"
"826","Zfp748"
"827","Gm13862"
"828","Gm5819"
"829","Gm6055"
"830","Wrb"
"831","Ighv9-1"
"832","Gm44521"
"833","2810403A07Rik"
"834","Igkv4-70"
"835","Ly6c1"
"836","Ly6g"
"837","Gstm6"
"838","2610037D02Rik"
"839","4930432K21Rik"
"840","Gm8399"
"841","Hmga1-rs1"
"842","2610306M01Rik"
"843","Gm13123"
"844","Pramef8"
"845","9030624G23Rik"
"846","Gm21188"
"847","Ssfa2"
"848","Trim30d"
"849","2010111I01Rik"
"850","Gm42715"
"851","Gm16740"
"852","Bcl2a1d"
"853","Ang"
"854","Olfr461"
"855","Gpalpp1"
"856","1600002H07Rik"
"857","Gm44136"
"858","Gm43042"
"859","Gm17377"
"860","Rps15a-ps4"
"861","Sgol1"
"862","Platr25"
"863","4932422M17Rik"
"864","Rps8-ps4"
"865","Hist1h4i"
"866","Mkl1"
"867","Peo1"
"868","Gm38079"
"869","Ctla2a"
"870","Adck4"
"871","Tpt1-ps6"
"872","Gm26582"
"873","Gpr132"
"874","Retnlg"
"875","C4a"
"876","Gm8250"
"877","Tmsb15b1"
"878","E330034L11Rik"
"879","Gm12219"
"880","Gm44524"
"881","Mapk1ip1l"
"882","Impad1"
"883","Stfa2"
"884","AU041133"
"885","AA474408"
"886","Gm11223"
"887","Scp2-ps2"
"888","5430416N02Rik"
"889","Bcl2a1a"
"890","Gm23444"
"891","Gm23472"
"892","Hmga1"
"893","A330009N23Rik"
"894","Gm37795"
"895","Ces2g"
"896","4930461G14Rik"
"897","2900076A07Rik"
"898","Sprr2k"
"899","Naip6"
"900","Xrcc6bp1"
"901","2700081O15Rik"
"902","Gm12397"
"903","Gm11688"
"904","Polr3gl"
"905","Adam19"
"906","Gm22478"
"907","Suv420h1"
"908","Gm53"
"909","1200007C13Rik"
"910","Trappc2"
"911","Gm6069"
"912","Igkv1-110"
"913","Slfn9"
"914","RP23-299N4.1"
"915","Chd3os"
"916","Gm28901"
"917","2410016O06Rik"
"918","Dfna5"
"919","Rps6-ps4"
"920","Akap17b"
"921","A130006I12Rik"
"922","Gm16238"
"923","Gm12320"
"924","Ly6i"
"925","Gm21811"
"926","Gm23780"
"927","Gm43719"
"928","Zfp709"
"929","Gm44623"
"930","6720427I07Rik"
"931","Gm13387"
"932","6330562C20Rik"
"933","Gm16185"
"934","2610035D17Rik"
"935","Zfp141"
"936","Rpl17-ps5"
"937","Rps27l"
"938","Cbr1"
"939","Gm2762"
"940","Akr1c13"
"941","A530020G20Rik"
"942","Gm9833"
"943","Fam206a"
"944","Eif4b"
"945","Utp11l"
"946","Gm37240"
"947","Ftl1"
"948","Gm9025"
"949","Gm14150"
"950","Nudt10"
"951","H2-DMb1"
"952","Wfdc15b"
"953","Eldr"
"954","March7"
"955","Gm14139"
"956","Sh2d1b1"
"957","RP23-330G24.3"
"958","Zfp760"
"959","Gm26694"
"960","4930539J05Rik"
"961","Zfp229"
"962","Fam212b"
"963","Nudt11"
"964","1110002L01Rik"
"965","Zfp933"
"966","Alyref"
"967","Kdelc2"
"968","Gm13331"
"969","Cd300lf"
"970","Gm10434"
"971","Gm44944"
"972","Zfp956"
"973","Gm26205"
"974","Tmem191c"
"975","Gm18180"
"976","Gm5855"
"977","Apol9b"
"978","Slc22a29"
"979","Ulbp1"
"980","Gm27855"
"981","Cyp2j6"
"982","Palm2"
"983","Gm29008"
"984","Igkv2-109"
"985","Rpl37"
"986","1700086O06Rik"
"987","2410002F23Rik"
"988","Gm11007"
"989","Gm2007"
"990","Gm20383"
"991","Hist1h3g"
"992","Zfp369"
"993","CH25-588N10.2"
"994","Zfp955a"
"995","Gm10451"
"996","Ighv5-16"
"997","A930001C03Rik"
"998","Gm16008"
"999","Jpx"
"1000","1700112E06Rik"
"1001","Rab11b-ps2"
"1002","Gm10039"
"1003","Gk"
"1004","H2afv"
"1005","RP23-413D14.5"
"1006","Hist1h4d"
"1007","Pam16"
"1008","Csrp2bp"
"1009","Trim12a"
"1010","Gm20498"
"1011","Pqlc2"
"1012","Gm6863"
"1013","Fpr2"
"1014","Gm5915"
"1015","Psme2b"
"1016","Slc6a8"
"1017","Gm16001"
"1018","Pgam1"
"1019","Gm10548"
"1020","Ighv1-84"
"1021","Gm9938"
"1022","Gm21769"
"1023","Gm12319"
"1024","Inadl"
"1025","Gm14165"
"1026","Fam134b"
"1027","1810011H11Rik"
"1028","Polr2j"
"1029","Gm43029"
"1030","Gm7332"
"1031","Cyp2a5"
"1032","Gm11469"
"1033","D130040H23Rik"
"1034","Rpl35a"
"1035","Rps27"
"1036","5031414D18Rik"
"1037","Zfp759"
"1038","Jkamp"
"1039","Ighv6-3"
"1040","Pagr1b"
"1041","Hsbp1"
"1042","C1s2"
"1043","Gm43268"
"1044","Gm14325"
"1045","1110008L16Rik"
"1046","Tpm3"
"1047","Ccl4"
"1048","Eno1b"
"1049","Prss46"
"1050","A330048O09Rik"
"1051","H2afj"
"1052","Zfp941"
"1053","Gm17080"
"1054","Gm5900"
"1055","Gm38399"
"1056","Tcte2"
"1057","4933421O10Rik"
"1058","4930430E12Rik"
"1059","Adrm1"
"1060","Gm12648"
"1061","Gm8242"
"1062","D330045A20Rik"
"1063","Sept2"
"1064","Gm20463"
"1065","Wisp2"
"1066","Plac9a"
"1067","Gm42902"
"1068","Gm44709"
"1069","Gm5620"
"1070","4930402H24Rik"
"1071","Zfp964"
"1072","Dlx6os1"
"1073","Igkv6-23"
"1074","Zfp825"
"1075","Sep15"
"1076","Ces2f"
"1077","AC133103.5"
"1078","Gm7816"
"1079","Gm42688"
"1080","Aldh9a1"
"1081","Gm5532"
"1082","Zfp710"
"1083","Gm26892"
"1084","Igbp1"
"1085","D330023K18Rik"
"1086","Gm15186"
"1087","Prkcz2"
"1088","Cecr5"
"1089","Gm2011"
"1090","A930004D18Rik"
"1091","Gm15892"
"1092","Tsg101-ps"
"1093","B130024G19Rik"
"1094","Hist1h4j"
"1095","2810429I04Rik"
"1096","Gm10425"
"1097","Gm5909"
"1098","Gm11808"
"1099","Gm17251"
"1100","D430042O09Rik"
"1101","Casc5"
"1102","Gm17709"
"1103","2310040G24Rik"
"1104","6430511E19Rik"
"1105","Gm8898"
"1106","Serpinb9b"
"1107","Mrpl23-ps1"
"1108","Ighv1-78"
"1109","Zfp68"
"1110","Gm10416"
"1111","Acaa1a"
"1112","Gm12119"
"1113","Fam96a"
"1114","Zfp59"
"1115","Zfp944"
"1116","Dcaf4"
"1117","Ighv8-12"
"1118","1110025M09Rik"
"1119","Hist1h2bg"
"1120","Gm43681"
"1121","Gm26619"
"1122","Gm43172"
"1123","Gm26848"
"1124","Slc52a2"
"1125","Clec18a"
"1126","Ccdc74a"
"1127","Igkv19-93"
"1128","BC021614"
"1129","Rps23"
"1130","BC065397"
"1131","Gm10033"
"1132","Gm43263"
"1133","Gm17147"
"1134","Gm12258"
"1135","Olfr1033"
"1136","6430562O15Rik"
"1137","Gm45137"
"1138","Lnp"
"1139","Gm5874"
"1140","Gm11832"
"1141","Gm37074"
"1142","RP24-343G19.3"
"1143","Stamos"
"1144","4930415O20Rik"
"1145","Gm17383"
"1146","Gbp11"
"1147","Gm9847"
"1148","Zfp948"
"1149","Gm43300"
"1150","Igkv9-120"
"1151","Vmn2r29"
