genes,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,18996-L,18996-S,18999-L,18999-S,19151-L,19151-S,19152-L,19152-S,19153-L,19153-S,19313-L,19313-S,FT1,FT2,FT3,FT4,13604T,2611T,14576T,2942T,14109T,14104T,13179T,14397T,14474T,13085T,13576T,2163T
Nudt16l1,128.9260722,4.091695007,1.07227917,3.815885937,0.000135695,0.034209321,1.601247201,49.70603199,0.263688845,72.23300268,11.78373436,243.1295631,0,2.653136699,35.76121592,46.38873612,0,0,56.99,77.65,61.53,68.35,55.78,63.34,41.33,41.35,83.12,62.39,62.35,24.03,42.67,58.5,38.2,49.09
Sorbs3,83.59077704,4.635267886,1.219475067,3.80103539,0.000144093,0.0349219,0,4.251173788,0,6.653039721,0.60429407,61.86893194,2.956755896,130.2984912,53.05557445,21.08578915,0,0,42.16,36.03,44.01,33.21,38.59,85.59,17.42,15.48,5.79,15.38,22.11,3.52,34.19,3.01,38.61,57.98
Krt79,92.58058394,4.010712577,1.055258932,3.800690482,0.000144293,0.0349219,1.334372667,3.597147052,0,3.168114153,0.60429407,260.7698784,0,0.589585933,0.293124721,5.953634582,23.42015173,63.08383639,0.31,0.47,0.46,0.5,0.11,22.28,9.32,0.24,2.55,2.57,18.52,11.76,58.73,2.86,3.25,12.79
Cpn1,30.25011116,4.486605808,1.185649778,3.784090287,0.000154272,0.03660477,0.533749067,5.88624063,0.263688845,21.85998765,1.812882209,24.54304738,0,26.82615996,13.19061243,0.99227243,0.236567189,9.871898061,7.28,6.86,7.48,6.75,5.59,1.02,1.27,0.21,0.11,12.09,0.35,1.16,1.04,4.02,0.17,0.36
Pagr1a,83.4725356,5.143377744,1.369544226,3.755539722,0.000172968,0.040251725,0.2001559,46.68442846,0.527377691,17.83965079,8.061282888,0.766970231,0,71.92948385,104.7862252,35.89049381,0,3.577961102,11.41,5.53,10.49,17.75,11.67,30.76,19.87,17.19,99.02,14.08,8.46,31.3,17.71,47.36,33.54,11.58
2610528A11Rik,27.05881356,-5.213224972,1.390168078,-3.750068107,0.000176787,0.040364038,11.47560494,0.654026737,46.14554795,0,0.302147035,0,4.139458254,0,11.72498883,0,18.21567357,20.70690813,0,0.2,0.07,0.71,0.64,78.58,3.75,17.43,1.02,1.68,1.13,40.05,5.64,15.19,0.46,0.33
BC024139,39.42165966,4.74663509,1.278322159,3.713175945,0.000204674,0.045283591,0,9.061540436,0.996743836,12.83719855,0,10.6455468,0.552913352,74.86856972,1.037661511,0,2.427179361,20.36981893,1.18,1.43,1.76,0.98,0.02,0.04,0.09,0,1.03,0.12,0.04,0.07,0.45,0.45,0,0.15
Nat8f4,38.72692506,6.223021068,1.676565702,3.711766894,0.000205817,0.045283591,0,18.63976199,0,39.28461549,0,0,0,37.73349972,18.4668574,14.38795024,0,1.203890007,16.34,8.9,13.55,10.92,1.46,6.91,7.88,1.39,17.94,10.12,5.74,16.19,14.43,7.38,34.11,7.29
Inafm1,151.2276545,4.679679025,1.262443634,3.706841952,0.00020986,0.045348458,2.668745335,88.94763619,0,9.187531043,108.7729325,39.88245199,0.29567559,83.72120251,138.6479929,28.27976427,0,2.648558016,18.65,17.31,19.28,17.52,9.66,7.01,5.48,13.16,19.69,11.35,7.83,9.39,13.35,13.36,7.12,14.6
Csdc2,170.8754832,2.521101451,0.683616904,3.687886355,0.000226125,0.048005855,16.39410259,113.8627847,11.2595137,212.8149001,8.520546381,53.5191827,9.757294456,13.23915213,34.0581613,94.26588089,2.065231562,19.74379612,31.56,36.47,35.06,33.45,5.04,49.79,18.98,0.64,30,5.92,15.93,2.5,62.42,22.28,37.99,22.72
Fcgbp,201.2874749,2.489293336,0.6794026,3.663944374,0.000248361,0.050542167,25.33173072,34.31678287,4.933618298,36.0626434,10.15818331,420.9541677,4.062582601,25.65583188,31.79230721,44.18837201,12.26364309,109.6840108,17.42,21.41,21.14,19.42,11.74,42.82,21.9,548.45,0.85,79.9,12.77,0.63,1.37,0.34,0.7,3.36
Pdia4,46.99698393,2.90099044,0.792050684,3.662632326,0.000249637,0.050542167,3.469368935,51.99512556,0.791066536,3.801736983,2.719323313,24.28739064,1.182702358,18.86674986,2.638122486,38.45055668,12.53806103,7.704896048,299.19,281.48,299.37,293.8,227.16,141.83,171.41,136.92,55.54,133.63,333.77,252.7,153.44,153.84,248.88,141.61
Zfp956,47.40338963,5.205941601,1.421749661,3.661644341,0.000250602,0.050542167,4.803741602,7.521307472,0,20.59274199,24.17176278,1.022626974,0,18.5719569,2.931247207,62.26509501,0,7.223340045,18.98,20.35,20.65,20.11,4.73,4.28,4.55,5.26,26.26,6.66,8.28,9.9,6.82,6.84,10.36,6.66
Sftpd,346.8824885,3.176215997,0.868827326,3.655750575,0.000256431,0.050869944,20.28246454,265.5348551,4.219021527,61.77822598,275.2559487,125.5274611,0.887026769,142.9745888,41.0374609,109.6461036,12.06492665,86.68008054,54.8,42.27,52.56,40.84,67.37,30.34,440.35,212.87,0.82,20.27,53.27,0.54,0.48,0.16,0.81,39.17
Gm42453,18.39844538,-4.480278557,1.232475793,-3.635185845,0.00027778,0.053749834,22.8818225,0,26.81979247,0.316811415,0.794646701,0.766970231,0,0,6.744799823,0.248068108,22.95648004,0.430992623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaf1a,15.78411298,4.0322037,1.109794402,3.633288917,0.000279831,0.053749834,0.304236968,1.952269809,0.108112427,1.438323825,0.320275857,27.6032586,0.416902581,4.333456609,4.408595799,13.31381533,0,1.55542589,7.72,8.21,8.96,8.21,20.92,32.61,28.99,5.29,36.81,32.96,23.76,29.92,20.62,27.34,27.81,19.63
Nudt18,121.2555783,4.115819651,1.134518248,3.627812649,0.000285833,0.054044682,1.868121734,29.43120315,1.845821918,43.64394057,90.35404928,4.872817532,0.29567559,73.40639661,33.12895593,92.13001448,0,4.671093229,12.58,15.37,13.32,13.49,6.9,6.75,8.44,15.98,6.13,6.98,7.29,3.67,5.65,6.81,2.9,4.63
