"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Psca",164.244972822177,-9.52982850331706,2.28548753546659,-4.16971361927446,NA,NA
"Ptk2",60.8615693449257,1.46970394741431,0.647128053591389,2.27111765477921,NA,NA
"Miox",0,NA,NA,NA,NA,NA
"Mapk8ip2",2.20012859659047,4.47526323517249,3.01525489506942,1.4842072696708,NA,NA
"Retnlb",0,NA,NA,NA,NA,NA
"Morc1",3.68509129955516,2.55783650618518,2.66587825616974,0.959472361599965,NA,NA
"Tagln3",10.8475692545881,5.28132369085839,2.58916259516515,2.03978062278531,NA,NA
"Drd3",0,NA,NA,NA,NA,NA
"Tmem114",0,NA,NA,NA,NA,NA
"Gsc2",0,NA,NA,NA,NA,NA
"Tmem30c",0,NA,NA,NA,NA,NA
"Lrrc74b",0,NA,NA,NA,NA,NA
"Ypel1",7.59458104163946,1.07460575468496,0.826384382478581,1.30037035726872,NA,NA
"4930435E12Rik",0,NA,NA,NA,NA,NA
"Cyp2ab1",0,NA,NA,NA,NA,NA
"Muc13",2.93706769642972,-4.59419974868935,2.11222697633681,-2.17505021958245,NA,NA
"Stxbp5l",2.58838658422408,4.70913964775279,3.01345025115138,1.56270694893786,NA,NA
"Ropn1",0,NA,NA,NA,NA,NA
"Tmprss15",0,NA,NA,NA,NA,NA
"Chodl",0,NA,NA,NA,NA,NA
"Kng1",2.87333985591656,-5.08802830898682,2.03137853417241,-2.50471698080619,NA,NA
"Hrg",0,NA,NA,NA,NA,NA
"Prl2a1",0,NA,NA,NA,NA,NA
"Krtap15",0,NA,NA,NA,NA,NA
"Grik1",0,NA,NA,NA,NA,NA
"Fam3b",4.55047738169204,-5.73440372592093,1.55828412458448,-3.67994747264079,NA,NA
"Wnt1",0,NA,NA,NA,NA,NA
"H2-M10.2",0,NA,NA,NA,NA,NA
"Gm7257",0,NA,NA,NA,NA,NA
"Gm853",0,NA,NA,NA,NA,NA
"Reg2",0,NA,NA,NA,NA,NA
"Lrrc69",0,NA,NA,NA,NA,NA
"Psg29",0,NA,NA,NA,NA,NA
"Ssxb2",0,NA,NA,NA,NA,NA
"Cpn2",0,NA,NA,NA,NA,NA
"Ceacam14",0,NA,NA,NA,NA,NA
"Lcn9",0,NA,NA,NA,NA,NA
