"","c..Gm5637....Gm6024....Gm5385....Rpl9.ps6....Frg2f1....Gbp8..."
"1099","D830030K20Rik"
"1100","Vmn2r25"
"1101","Olfr1224-ps1"
"1102","Gm49218"
"1103","Gm14698"
"1104","Vmn1r201"
"1105","Olfr1415"
"1106","Gm48465"
"1107","Nsmce3"
"1108","Vmn2r85"
"1109","Olfr588-ps1"
"1110","Olfr51"
"1111","A630089N07Rik"
"1112","Gm6681"
"1113","Gm6211"
"1114","Nudt11"
"1115","Olfr64"
"1116","Vmn2r92"
"1117","Gm7222"
"1118","Olfr675"
"1119","Zfp148-ps1"
"1120","Gm5215"
"1121","Zfp707"
"1122","Gm4962"
"1123","Gm49461"
"1124","Cyp2d67-ps"
"1125","Vmn2r82"
"1126","Gm17748"
"1127","Gm5527"
"1128","Gm48793"
"1129","Olfr1280"
"1130","Rpl7-ps9"
"1131","Gm8257"
"1132","Gm48111"
"1133","Olfr889"
"1134","Pramel27"
"1135","Zfp110"
"1136","1500009C09Rik"
"1137","A26c3"
"1138","Gm49056"
"1139","Igkv4-78"
"1140","Gm9057"
"1141","Ifi27"
"1142","Prss44"
"1143","1700109H08Rik"
"1144","Zfp369"
"1145","Gm3791"
"1146","Zfp948"
"1147","2610318N02Rik"
"1148","Gm46391"
"1149","Rnf135"
"1150","Gm31663"
"1151","Cd1d1"
"1152","Uba1y"
"1153","Gstt2"
"1154","Mdp1"
"1155","Vmn2r106"
"1156","Gm10478"
"1157","Gm5864"
"1158","Olfr652"
"1159","Gm13717"
"1160","Gm29605"
"1161","Polr1has"
"1162","Gm2962"
"1163","Rpl17-ps10"
"1164","Vmn2r26"
"1165","Olfr846"
"1166","Gm20721"
"1167","Gm15268"
"1168","Olfr1505"
"1169","Gm18367"
"1170","Rps3a3"
"1171","Zc3h11a"
"1172","Gm18112"
"1173","Gm13478"
"1174","Mageb16-ps1"
"1175","Ighv1-14"
"1176","Gm12535"
"1177","Gm48366"
"1178","Gpi-ps"
"1179","Chil6"
"1180","Spink10"
"1181","Gm18848"
"1182","Ak6"
"1183","Vmn1r61"
"1184","Gbp4"
"1185","Vmn1r218"
"1186","Olfr1307"
"1187","Rhox4d"
"1188","Gm14735"
"1189","Gm5777"
"1190","Gm16519"
"1191","Gm5315"
"1192","Gm5614"
"1193","Gm47104"
"1194","Rps6-ps2"
"1195","Ftl2-ps"
"1196","Olfr281"
"1197","Vmn2r9"
"1198","Cyp4a31"
"1199","Gm4756"
"1200","Gm15753"
"1201","Zfp995"
"1202","Evpl"
"1203","Vmn1r58"
"1204","Zfp870"
"1205","A730049H05Rik"
"1206","Pcdh11x"
"1207","Gm9034"
"1208","Gm7789"
"1209","Ttll5"
"1210","Gm6157"
"1211","Rplp1"
"1212","Zfp345"
"1213","Gm12497"
"1214","Vmn2r83"
"1215","Gm48800"
"1216","Vmn1r180"
"1217","Olfr393"
"1218","Pdxk-ps"
"1219","Gm48269"
"1220","Gm47974"
"1221","4932411N23Rik"
"1222","Lilrb4a"
"1223","Cyp2b23"
"1224","Olfr5"
"1225","Gm13312"
"1226","Gm10557"
"1227","Olfr1246"
"1228","Gm6407"
"1229","Gm44821"
"1230","Vmn1r65"
"1231","Gm11350"
"1232","H2ac6"
"1233","Olfr670"
"1234","Cyp2c23"
"1235","Aox2"
"1236","Zfp72"
"1237","Ggt1"
"1238","Cfap53"
"1239","Zfp607b"
"1240","Olfr1156"
"1241","Gm5148"
"1242","Olfr1513"
"1243","Olfr1039"
"1244","Aph1c"
"1245","Brd8dc"
"1246","Gm47056"
"1247","Gm5862"
"1248","Cyp3a44"
"1249","Olfr353"
"1250","Gm16005"
"1251","Ly6c2"
"1252","Gm18075"
"1253","Atxn3"
"1254","Gm15501"
"1255","Gm44212"
"1256","Olfr1506"
"1257","Hbb-bt"
"1258","Vmn2r17"
"1259","Gm31931"
"1260","Gm7278"
"1261","Vmn2r23"
"1262","Rpl27-ps1"
"1263","Gm44523"
"1264","G6pdx"
"1265","Gm17941"
"1266","Taz"
"1267","Gm17873"
"1268","Gm12967"
"1269","Gm5184"
"1270","Gm9493"
"1271","Ctla2b"
"1272","Gm43960"
"1273","Gm6054"
"1274","Klre1"
"1275","Gm49051"
"1276","Gm47924"
"1277","Gm5628"
"1278","Olfr607"
"1279","Gm6365"
