"","c..Gm5637....Gm6024....Gm5385....Rpl9.ps6....Frg2f1....Gbp8..."
"2476","Cntnap5b"
"2477","Olfr1441"
"2478","Klk1b27"
"2479","Gm11223"
"2480","Gm15460"
"2481","Gm5380"
"2482","Gm9351"
"2483","Ighv11-2"
"2484","Gm11598"
"2485","Oas1b"
"2486","Gm18716"
"2487","Vmn1r228"
"2488","Gm48592"
"2489","Gm15470"
"2490","Rps8-ps4"
"2491","4930519F09Rik"
"2492","Gm42464"
"2493","Olfr845"
"2494","Gm4841"
"2495","Gm43309"
"2496","Rpl38-ps2"
"2497","Gm12623"
"2498","Gm12936"
"2499","Hspa1a"
"2500","Ighv1-78"
"2501","Clec4a2"
"2502","Isca1"
"2503","Olfr1543-ps1"
"2504","Tunar"
"2505","Olfr288"
"2506","Gm10717"
"2507","Gm38356"
"2508","Gm4846"
"2509","Gm4978"
"2510","Gm3453"
"2511","Gm49676"
"2512","Ube2d2b"
"2513","Gm17971"
"2514","Gm6025"
"2515","Olfr1484"
"2516","Pdcd5-ps"
"2517","Gm45432"
"2518","Gm47696"
"2519","Rps12-ps24"
"2520","Trappc2"
"2521","Gm12870"
"2522","Olfr204"
"2523","Gm16571"
"2524","Gm3534"
"2525","Dtnb"
"2526","Vmn1r86"
"2527","Gm9225"
"2528","4930402F06Rik"
"2529","Tcte2"
"2530","Rpl7-ps7"
"2531","Gm17137"
"2532","Vmn2r27"
"2533","Gm7450"
"2534","Gm6788"
"2535","Cntnap3"
"2536","Gm19154"
"2537","Gm9890"
"2538","Qrfpr"
"2539","Pira12"
"2540","Amd-ps4"
"2541","Serpina3i"
"2542","Odf4"
"2543","Gm42372"
"2544","Trav6n-5"
"2545","Gm11566"
"2546","Gm19203"
"2547","Brcc3"
"2548","Gtpbp4-ps4"
"2549","Olfr1045"
"2550","Olfr975"
"2551","Gm12028"
"2552","Tcp1-ps1"
"2553","Cox5b-ps"
"2554","Gm8495"
"2555","Oas1h"
"2556","Gm13884"
"2557","Gm13477"
"2558","Gm6618"
"2559","Olfr462"
"2560","Gm10801"
"2561","Gm7901"
"2562","Mettl21e"
"2563","Gm49137"
"2564","Vmn2r50"
"2565","Zfp825"
"2566","Gm32842"
"2567","Gm10668"
"2568","Gm4567"
"2569","Eif1ad19"
"2570","Gm11354"
"2571","Cstdc7"
"2572","9630014M24Rik"
"2573","Gm47145"
"2574","Gm15645"
"2575","Gm14496"
"2576","Gm8172"
"2577","Gm5619"
"2578","Gm10232"
"2579","Olfr1254"
"2580","Gm4609"
"2581","Olfr1323"
"2582","Gm17829"
"2583","Gm13126"
"2584","Olfr1487"
"2585","Rhox4f"
"2586","Gm45246"
"2587","Rpl13-ps1"
"2588","Gm12383"
"2589","Gm29335"
"2590","Vmn1r49"
"2591","Mrpl23-ps1"
"2592","Gm11338"
"2593","Prl6a1"
"2594","Gm8942"
"2595","Gm6198"
"2596","Gm8623"
"2597","Rpl17"
"2598","Gm11362"
"2599","Apol10b"
"2600","Vmn1r27"
"2601","Adat3"
"2602","Gm13428"
"2603","Olfr1469"
"2604","Mterf1a"
"2605","Pitx2"
"2606","Gm6342"
"2607","Gm10257"
"2608","Luzp4"
"2609","Vmn1r-ps151"
"2610","Gm47611"
"2611","Bmp8a"
"2612","Gm16585"
"2613","Gm49858"
"2614","Btg1"
"2615","Gm6236"
"2616","Gm4821"
"2617","Gm49396"
"2618","Vmn2r101"
"2619","Olfr645"
"2620","Zfp433"
"2621","Gm48403"
"2622","Gm8093"
"2623","Vmn1r70"
"2624","Gm12837"
"2625","Rpl17-ps4"
"2626","Gm16250"
"2627","Zfp983"
"2628","Gm6426"
"2629","Gm6356"
"2630","Vmn1r-ps62"
"2631","Gm16470"
"2632","4933414I15Rik"
"2633","Rps15a-ps4"
"2634","Gm4951"
"2635","Gm13141"
"2636","Gm3045"
"2637","Gm31849"
"2638","Gm29844"
"2639","Gm44579"
"2640","Tomm20"
"2641","Gm11839"
"2642","Gm17951"
"2643","Abca15"
"2644","Olfr765"
"2645","Gm14903"
"2646","Olfr9"
"2647","Olfr1439-ps1"
"2648","Gm8523"
"2649","Gm19194"
"2650","Vmn2r5"
"2651","Pnp"
"2652","Gm29599"
"2653","Gm12375"
"2654","Gm49001"
"2655","Olfr918"
"2656","Olfr1250"
"2657","Gm13743"
"2658","Olfr876"
"2659","Adam19"
"2660","Gm18292"
"2661","Olfr1274"
"2662","Fau-ps2"
"2663","Gm15043"
"2664","Rtl1"
"2665","Gm9522"
"2666","Gapdh-ps16"
"2667","Olfr1381"
"2668","Nr1h5"
"2669","Gm18706"
"2670","Aqp7"
"2671","Trim30d"
"2672","Itpa-ps1"
"2673","Olfr943"
"2674","Gm5200"
"2675","Gm10038"
"2676","Gm12218"
"2677","Gm44803"
"2678","Zfp944"
"2679","Gm21060"
"2680","Gm2244"
"2681","2810408A11Rik"
"2682","Zfp988"
"2683","Gm6887"
"2684","Gm609"
"2685","Gm46192"
"2686","Gm6325"
"2687","Gja1"
"2688","Gm11949"
"2689","Ppp1r2-ps3"
"2690","Pramel12"
"2691","Gm13392"
"2692","Mettl7a3"
"2693","Gm18688"
"2694","Gm9509"
"2695","Gm5279"
"2696","Gm19096"
"2697","Akr1c13"
"2698","Slc52a2"
"2699","Rsc1a1"
"2700","Cyp2j14-ps"
"2701","Zfp420"
"2702","Gm18969"
"2703","Gm49416"
"2704","C4bp-ps1"
"2705","Gm9892"
"2706","Mrps36-ps2"
"2707","Olfr683"
"2708","Gm8503"
"2709","Gm7030"
"2710","Gm10521"
"2711","Gm6818"
"2712","Ppp4r1l-ps"
"2713","Olfr457"
"2714","Gm48649"
"2715","Gm48415"
"2716","Olfr456"
"2717","Gm8444"
"2718","Olfr93"
"2719","A330070K13Rik"
"2720","Rps26-ps1"
"2721","Gm48151"
"2722","Gm11960"
"2723","Gm5187"
"2724","Rnf138rt1"
"2725","Gm8250"
"2726","Rps27-ps1"
"2727","Spopfm2"
"2728","Olfr718-ps1"
"2729","Gm49850"
"2730","Rpsa-ps11"
"2731","Gm17826"
"2732","D130007C19Rik"
"2733","Gm10819"
"2734","Gm4045"
"2735","H2-Q6"
"2736","Gm15280"
"2737","Casz1"
"2738","Gm8256"
"2739","Gm11604"
"2740","Gm18943"
"2741","Olfr714"
"2742","Cela3a"
"2743","Jaml"
"2744","Samt3"
"2745","Synb"
"2746","Gm6733"
"2747","Kif4-ps"
"2748","Gm40989"
"2749","Gm8391"
"2750","Gm6905"
"2751","Ube2d3"
"2752","Gm45861"
"2753","Olfr657"
"2754","Washc1"
"2755","Wdr46-ps"
"2756","Olfr1228"
"2757","Gm49220"
"2758","Gm48432"
"2759","Gzmc"
"2760","Gm37835"
"2761","Naip3"
"2762","Bex4"
"2763","Gm7667"
"2764","2410024N13Rik"
"2765","Gm21915"
"2766","Btbd35f14"
"2767","Gm20615"
"2768","Gm29778"
"2769","Wdr20rt"
"2770","Gm15878"
"2771","Vmn1r230"
"2772","Gm49255"
"2773","Tnfrsf23"
"2774","Prss39"
"2775","Gm29696"
"2776","Gm6931"
"2777","Rpl29-ps2"
"2778","Olfr470"
"2779","Vmn2r78"
"2780","Gm3671"
"2781","Gm11411"
"2782","4930503E24Rik"
"2783","Gm10075"
"2784","Gm3329"
"2785","Vmn2r29"
"2786","Gm6419"
"2787","Gm10175"
"2788","Gm14279"
"2789","H2-T22"
"2790","Gm10330"
"2791","Gm12634"
"2792","Lilra6"
"2793","Gm14429"
"2794","Timm8a2"
"2795","1700073E17Rik"
"2796","Gm14296"
"2797","Gm6254"
"2798","Gm7691"
"2799","Gm13207"
"2800","Kifc5b"
"2801","Olfr922"
"2802","Gm18341"
"2803","6030445D17Rik"
"2804","Olfr1382"
"2805","Rps23-ps1"
"2806","Olfr105-ps"
"2807","Gm16580"
"2808","Pramel44"
"2809","Zfp563"
"2810","Hmgb1-ps8"
"2811","Vmn1r16"
"2812","Skint2"
"2813","Zrsr2"
"2814","Gm44922"
"2815","Myef2"
"2816","Hspe1-rs1"
"2817","Gm8489"
"2818","Gm48406"
"2819","Vmn2r56"
"2820","Prss30"
"2821","Gm7778"
"2822","Gm7082"
"2823","Gm3571"
"2824","Gm47201"
"2825","Psg16"
"2826","Gm9347"
"2827","Gm12222"
"2828","Cd300lf"
"2829","Olfr960"
"2830","Hp"
"2831","Gm6853"
"2832","Gm7589"
"2833","Gm6997"
"2834","Olfr1137"
"2835","Gm12508"
"2836","Gm30671"
"2837","Pot1b"
"2838","Gm11278"
"2839","Gm5905"
"2840","Prl5a1"
"2841","Rps10-ps1"
"2842","Gm6029"
"2843","Gm44010"
"2844","Magea3"
"2845","Gm12026"
"2846","Rps13-ps5"
"2847","Gm5415"
"2848","Utp14a"
"2849","Gm8957"
"2850","Gm8186"
"2851","Gm48130"
"2852","Gm11687"
"2853","Gm9396"
"2854","4932431P20Rik"
"2855","Gm47885"
"2856","Tnxa"
"2857","Gm7123"
"2858","Gm14277"
"2859","Gm11400"
"2860","Tcaf2"
"2861","Rbm12"
"2862","Gm17978"
"2863","Gm27005"
"2864","Gm2389"
"2865","Rpl21-ps15"
"2866","Gm5487"
"2867","Olfr872"
"2868","Gm47187"
"2869","Olfr1346"
"2870","Gimap5"
"2871","AK157302"
"2872","Gm47937"
"2873","Atp8b5"
"2874","Cd59a"
"2875","Gm19052"
"2876","Kif16b"
"2877","Ccl5"
"2878","Gm27029"
"2879","Olfr361"
"2880","Gm9544"
"2881","Gm12599"
"2882","Olfr455"
"2883","Gm3095"
"2884","Ugt2b37"
"2885","Olfr710"
"2886","Gm4922"
"2887","Obox3"
"2888","Gm8960"
"2889","Gm11814"
"2890","Zfp862-ps"
"2891","Zfp989"
"2892","Gm17984"
"2893","Naip5"
"2894","Ostc"
"2895","Gm14760"
"2896","Rpl15-ps3"
"2897","Gm3126"
"2898","Rpl19-ps3"
"2899","Gm7103"
"2900","Eci3"
"2901","Vmn1r13"
"2902","Gm12309"
"2903","Olfr1055"
"2904","Gm37108"
"2905","Vmn2r13"
"2906","Gm3617"
"2907","Gm5575"
"2908","Gm13827"
"2909","Gm7271"
"2910","Gm5265"
"2911","9130019O22Rik"
"2912","Rpl21-ps1"
"2913","Wfdc21"
"2914","Gm4925"
"2915","Olfr814"
"2916","Gm7791"
"2917","Gm8935"
"2918","Ighv2-3"
"2919","Gtpbp4-ps5"
"2920","Gm45288"
"2921","Gm48987"
"2922","Srsy"
"2923","Gm11787"
"2924","Vmn1r20"
"2925","Gm18283"
"2926","Gm5277"
"2927","Gm6491"
"2928","Rpl35a-ps3"
"2929","Rpl35a-ps2"
"2930","Rpl35a-ps4"
"2931","Rpl35a-ps6"
"2932","Gm10243"
"2933","Gm4513"
"2934","Gm4565"
"2935","Zfp973"
"2936","Gm49739"
"2937","Gm5714"
"2938","Klk1b21"
"2939","Teddm2"
"2940","Gm49721"
"2941","Adh6a"
"2942","Gm18761"
"2943","Olfr193"
"2944","Csn1s2b"
"2945","Cd1d2"
"2946","Tdg-ps"
"2947","Gm15446"
"2948","Gm5472"
"2949","Gm37007"
"2950","Pam16"
"2951","Unc93a"
"2952","Mrfap1"
"2953","Gm21893"
"2954","Gm7658"
"2955","Gm28581"
"2956","Olfr715"
"2957","Gm8770"
"2958","Gm49320"
"2959","Cd177"
"2960","Trcg1"
"2961","5530401A14Rik"
"2962","Gm15262"
"2963","Gm10033"
"2964","Olfr647-ps1"
"2965","Gm3123"
"2966","Gm5244"
"2967","Rpl7a"
"2968","Gm12009"
"2969","Rps4x"
"2970","Gm31104"
"2971","Erv3"
"2972","Gm10447"
"2973","Olfr130"
"2974","Olfr251"
"2975","Sap18b"
"2976","Gm32220"
"2977","Gm18214"
"2978","Gm52969"
"2979","Gm12421"
"2980","Gm11939"
"2981","Gm13668"
"2982","Gm18388"
"2983","Olfr392"
"2984","Olfr388-ps1"
"2985","Olfr600"
"2986","Amy2a3"
"2987","Amy2a2"
"2988","Amy2a4"
"2989","Olfr725"
"2990","Olfr993"
"2991","Rhox4e"
"2992","Olfr395"
"2993","Klk1b8"
"2994","Hnrnpa1l2-ps"
"2995","Gm9013"
"2996","Gm20797"
"2997","Gm29808"
"2998","Gm21156"
"2999","Zpld2"
"3000","Olfr124"
"3001","Kat6b-ps1"
"3002","Vmn2r-ps18"
"3003","Gm8843"
"3004","Gm11188"
"3005","Ifi211"
"3006","Gm8498"
"3007","Gm9436"
"3008","Vmn1r169"
"3009","Olfr622"
"3010","Cyp3a41a"
"3011","Ndufb4c"
"3012","Gm6627"
"3013","Gm13108"
"3014","Gm18334"
"3015","Gm3496"
"3016","Gm16436"
"3017","Sprr2f"
"3018","Gm31166"
"3019","Zfp981"
"3020","Foxd4"
"3021","1600029O15Rik"
"3022","Gm48555"
"3023","Fmo6"
"3024","Olfr410"
"3025","Ighv5-2"
"3026","Rhox4a"
"3027","Pramel13"
"3028","Gm8752"
"3029","Olfr1016"
"3030","Gm21926"
"3031","Gm18508"
"3032","Npm3-ps1"
"3033","Vmn1r30"
"3034","Gm49328"
"3035","Svs3a"
"3036","Rpl36-ps3"
"3037","Olfr522"
"3038","Tpm3-rs7"
"3039","Gm7198"
"3040","4933417G07Rik"
"3041","Gpr132"
"3042","Ighv1-69"
"3043","Olfr1392"
"3044","Gm18878"
"3045","Gm11224"
"3046","Gm18666"
"3047","Gm8707"
"3048","Gm8214"
"3049","Olfr1255"
"3050","Gm16342"
"3051","Olfr1293-ps"
"3052","H2bc24"
"3053","Lce1a1"
"3054","Stra6l"
"3055","Olfr1388"
"3056","Gm12739"
"3057","4632433K11Rik"
"3058","Rps18-ps6"
"3059","Gm46610"
"3060","Gm19291"
"3061","Zfp772"
"3062","Olfr1535"
"3063","Gm2108"
"3064","Ugt1a6a"
"3065","Gm10167"
"3066","Gm8502"
"3067","Gm6882"
"3068","Gm12020"
"3069","Cym"
"3070","Gm14253"
"3071","Gm45209"
"3072","Gm8797"
"3073","Vmn1r213"
"3074","Olfr890"
"3075","Olfr1105"
"3076","Rnf187"
"3077","Gm14877"
"3078","Gm13231"
"3079","Gm12939"
"3080","Duxf3"
"3081","Gm8407"
"3082","Rps2-ps6"
"3083","Gm14633"
"3084","4930519F16Rik"
"3085","Gm8458"
"3086","A430060F13Rik"
"3087","Gvin1"
"3088","Rsph3a"
"3089","Vmn2r104"
"3090","Rhox6"
"3091","Gm12361"
"3092","Gm27014"
"3093","Trim43b"
"3094","Nudt4"
"3095","Olfr686"
"3096","Frg1"
"3097","Gm10181"
"3098","Gm9568"
"3099","Olfr1352"
"3100","Gm43033"
"3101","6030469F06Rik"
"3102","Gm7867"
"3103","Gm37826"
"3104","Gm4823"
"3105","Gm18557"
"3106","Gm49486"
"3107","Gm6333"
"3108","Tpt1-ps6"
"3109","Olfr1452-ps1"
"3110","H2-Q7"
"3111","Olfr224"
"3112","Tmsb15b1"
"3113","Hmga1b"
"3114","Gm45405"
"3115","Gm8894"
"3116","Cyp2d10"
"3117","Dcaf4"
"3118","Gm18101"
"3119","Klra17"
"3120","Tmem181c-ps"
"3121","Ahcy"
"3122","Gm49102"
"3123","Gm11380"
"3124","4930519G04Rik"
"3125","Gm28729"
"3126","Zfp937"
"3127","Ccdc7b"
"3128","Gm5857"
"3129","Eif2s3x-ps1"
"3130","Gm2497"
"3131","Gm7481"
"3132","Naip6"
"3133","Gm3676"
"3134","Gm3219"
"3135","Rpl31-ps11"
"3136","Rnf26"
"3137","Gm11993"
"3138","Gm18980"
"3139","Gm7027"
"3140","Gm5445"
"3141","Gm19189"
"3142","Ighv1-22"
"3143","Nlrp4c"
"3144","Trim80"
"3145","Rpl27-ps3"
"3146","Gm11518"
"3147","Gm18578"
"3148","Obox4-ps27"
"3149","Obox4-ps12"
"3150","Oog3"
"3151","Olfr596"
"3152","Gm15625"
"3153","Pcdhb14"
"3154","Olfr806"
"3155","Ifit3"
"3156","Gm17535"
"3157","Mgat4e"
"3158","Gm6756"
"3159","Olfr135"
"3160","Gm43035"
"3161","Rps12-ps4"
"3162","Gm44845"
"3163","Gm6899"
"3164","Smim40"
"3165","Gvin2"
"3166","Btf3-ps1"
"3167","Gm5528"
"3168","Gm18891"
"3169","Rplp1-ps1"
"3170","Gm10273"
"3171","Zfp976"
"3172","Gm7059"
"3173","Rpl26-ps6"
"3174","Ceacam12"
"3175","H2-T-ps"
"3176","Gm47036"
"3177","H2ac7"
"3178","Gm8813"
"3179","Gm16411"
"3180","Gm7535"
"3181","Gm47240"
"3182","Zfp114"
"3183","Gm48643"
"3184","Gsta4"
"3185","Gm16181"
"3186","Gm9071"
"3187","Gm48641"
"3188","Gm5457"
"3189","Rpl19-ps1"
"3190","Trim30b"
"3191","Pramel1"
"3192","Crisp3"
"3193","Mospd4"
"3194","Gm14776"
"3195","Gm34303"
"3196","Olfr1391"
"3197","Defb34"
"3198","Gm5558"
"3199","Gm8617"
"3200","Obox4-ps7"
"3201","Gm13669"
"3202","Gng5-ps"
"3203","Pcdhb8"
"3204","Olfr372"
"3205","Gm48401"
"3206","Olfr1311"
"3207","Ckb-ps1"
"3208","Fbxw26"
"3209","Gm47014"
"3210","Gm48679"
"3211","Gm4644"
"3212","Olfr1387"
"3213","Eif1ad4"
"3214","Arpp19"
"3215","Gm9376"
"3216","Gm37177"
"3217","Defa-ps8"
"3218","Gm17838"
"3219","Tmed11"
"3220","Gm49844"
"3221","Olfr6"
"3222","Gm9458"
"3223","Gm7945"
"3224","Cldn4"
"3225","Akap17b"
"3226","Gm36501"
"3227","Gm49252"
"3228","Olfr905"
"3229","Cyp2j6"
"3230","Olfr1504"
"3231","Gm4952"
"3232","Rps19-ps8"
"3233","Gm10775"
"3234","Olfr1501"
"3235","Zfp600"
"3236","Gm37239"
"3237","Msl3l2"
"3238","Gm12460"
"3239","Cyp2g1"
"3240","Gm18942"
"3241","Fbxw10"
"3242","Cd300ld3"
"3243","Gm6811"
"3244","Rpsa-ps8"
"3245","Vmn2r10"
"3246","Gm9416"
"3247","Ttc30a1"
"3248","Gm15467"
"3249","Olfr136"
"3250","Gm15303"
"3251","Tmem202"
"3252","Gm2042"
"3253","Gm49711"
"3254","Ctla2a"
"3255","BC064078"
"3256","Gm46136"
"3257","Gm8371"
"3258","Aldoa"
"3259","Olfr744"
"3260","Gm5859"
"3261","Gm10095"
"3262","Gm13437"
"3263","H2-T23"
"3264","Lao1"
"3265","Gm42714"
"3266","Gm48598"
"3267","Gm12989"
"3268","Gm7167"
"3269","Gm12691"
"3270","Snrnp27"
"3271","Gm32717"
"3272","Gm32802"
"3273","Prcd"
"3274","Gm10118"
"3275","Gm11689"
"3276","Gm20587"
"3277","Rpl26"
"3278","Gm44163"
"3279","Cfhr2"
"3280","Ccl9"
"3281","Tlr12"
"3282","Ifi209"
"3283","Lce3c"
"3284","BC035947"
"3285","Rpsa-ps7"
"3286","Olfr358"
"3287","Gm14094"
"3288","Gm8798"
"3289","Gm10310"
"3290","Pcp4"
"3291","Rpl10-ps3"
"3292","Ccdc121"
"3293","Olfr391"
"3294","Olfr1090"
"3295","Hsd3b1"
"3296","1700022A21Rik"
"3297","Rpl39"
"3298","Gm39288"
"3299","Gm4974"
"3300","Olfr1358"
"3301","Cxcl11"
"3302","Gm5724"
"3303","Gm18078"
"3304","Vmn2r8"
"3305","Olfr767"
"3306","Gm6682"
"3307","Gm18487"
"3308","Vmn1r5"
"3309","Gm15067"
"3310","Vmn1r62"
"3311","Mdm4-ps"
"3312","Cyp2d11"
"3313","Hsp25-ps1"
"3314","Gm18996"
"3315","Gm14234"
"3316","Gm8305"
"3317","Gm4575"
"3318","Tstd3"
"3319","Gm16288"
"3320","7530416G11Rik"
"3321","Mrgprx2"
"3322","Gm14688"
"3323","Gm29486"
"3324","Ifitm3"
"3325","Pcdhb6"
"3326","Ccdc7a"
"3327","Rps8-ps3"
"3328","Ggnbp1"
"3329","Gm12267"
"3330","Gm7423"
"3331","Gm19169"
"3332","Vmn2r121"
"3333","2610301B20Rik"
"3334","Gm5436"
"3335","Gm11331"
"3336","Gm28374"
"3337","Tmem191c"
"3338","Sft2d1"
"3339","Gm19426"
"3340","Gm7609"
"3341","Gm48789"
"3342","Olfr290"
"3343","Dsg1a"
"3344","Gm4118"
"3345","Gm17131"
"3346","Eif1ad3"
"3347","Gm7638"
"3348","Olfr979"
"3349","Lims1"
"3350","Rps15a-ps8"
"3351","Gm8488"
"3352","Gm6278"
"3353","Gm4412"
"3354","H2bc7"
"3355","Gm11618"
"3356","Gm48493"
"3357","Gm9523"
"3358","Rnf138"
"3359","Gm48098"
"3360","3000002C10Rik"
"3361","Gm3551"
"3362","Gm8580"
"3363","Gm10087"
"3364","Gm9790"
"3365","Olfr374"
"3366","Mrgprb4"
"3367","Zfp54"
"3368","Gm7935"
"3369","Srp54a"
"3370","Tcstv1"
"3371","Pramel25"
"3372","Gm8684"
"3373","Gm7600"
"3374","Anapc15"
"3375","Mx1"
"3376","Prss34"
"3377","Gm45588"
"3378","Gm18537"
"3379","Tmem29"
"3380","Gm47265"
"3381","Gm6401"
"3382","Olfr1384"
"3383","Rpl9-ps3"
"3384","Oaz1-ps"
"3385","Gm49817"
"3386","Gm29516"
"3387","Gm14752"
"3388","Gm9936"
"3389","Gm9029"
"3390","Gm9030"
"3391","Gm10548"
"3392","Gm12987"
"3393","Pramel33"
"3394","Zfp934"
"3395","Olfr1127-ps1"
"3396","Gm7284"
"3397","Gm16107"
"3398","Ctf2"
"3399","Obox7"
"3400","Gm15666"
"3401","Gm6201"
"3402","Gm49111"
"3403","Rps12-ps16"
"3404","Olfr188-ps1"
"3405","Skint3"
"3406","Uchl3"
"3407","Gm21112"
"3408","Gm6210"
"3409","4930471M09Rik"
"3410","AU015836"
"3411","Gm7511"
"3412","Olfr23"
"3413","Gm49550"
"3414","Cd63-ps"
"3415","1700001J11Rik"
"3416","Gm12513"
"3417","Zfp184"
"3418","Vmn2r-ps99"
"3419","Gm12382"
"3420","Gm7203"
"3421","Catspere2"
"3422","Usp17lc"
"3423","Gm49511"
"3424","Gm9973"
"3425","Gm17891"
"3426","Ccl6"
"3427","Gm8838"
"3428","Pou5f1-rs4"
"3429","Eif3j2"
"3430","Gm15000"
"3431","Gm8213"
"3432","Gm14410"
"3433","Smt3h2-ps"
"3434","Zfp459"
"3435","Olfr328"
"3436","Olfr824"
"3437","Gm44807"
"3438","Slc22a30"
"3439","Gm12254"
"3440","Gm2840"
"3441","Igkv4-58"
"3442","Gm43193"
"3443","Olfr1085"
"3444","Cbr2"
"3445","Gm13474"
"3446","Olfr1315-ps1"
"3447","Gm14880"
"3448","Gm19058"
"3449","Gm18775"
"3450","2610042L04Rik"
"3451","Gbp7"
"3452","Gm12297"
"3453","Gm46344"
"3454","Olfr543"
"3455","Gm19345"
"3456","Gm9480"
"3457","Gm49516"
"3458","Gm49351"
"3459","Gm45100"
"3460","Olfr322"
"3461","Gm3326"
"3462","Olfr115"
"3463","Gm15148"
"3464","Rpl18-ps2"
"3465","Vmn2r49"
"3466","Gm13868"
"3467","Gm5369"
"3468","Mkrn1-ps1"
"3469","Gm21293"
"3470","Qrfprl"
"3471","Rslcan18"
"3472","Igkv4-69"
"3473","Olfr332"
"3474","Olfr967"
"3475","Svs1"
"3476","Gm37201"
"3477","Gm8724"
"3478","Gm12261"
"3479","Gm10327"
"3480","Gm12071"
"3481","Gm47470"
"3482","Gm5904"
"3483","Gm47325"
"3484","Gm30251"
"3485","AF067063"
"3486","Hmgn2l6"
"3487","Gm48240"
"3488","D130052B06Rik"
"3489","Gm47638"
"3490","Gm5692"
"3491","Gm7713"
"3492","Gm49904"
"3493","Rps15a-ps5"
"3494","Sh2d1b2"
"3495","Olfr1112"
"3496","9030612E09Rik"
"3497","Bglap3"
"3498","Gm11225"
"3499","Alyref2"
"3500","Olfr390"
"3501","Slx"
"3502","Gm37424"
"3503","Vmn1r17"
"3504","Fcgr2b"
"3505","Gm8624"
"3506","Gm37449"
"3507","Gm8600"
"3508","Gm14853"
"3509","Gm19945"
"3510","Olfr92"
"3511","Gm9038"
"3512","Gm47830"
"3513","Gm12618"
"3514","Gm3261"
"3515","H2-Q1"
"3516","Gm9343"
"3517","Gm2349"
"3518","Rps12-ps7"
"3519","Gm13687"
"3520","Pou5f1"
"3521","Zfp955b"
"3522","Pot1a"
"3523","Aldoart2"
"3524","Gm13626"
"3525","Gm3226"
"3526","Pramel50"
"3527","Vmn2r102"
"3528","Gm5670"
"3529","Gm17511"
"3530","Olfr1537"
"3531","Gm15127"
"3532","Gm18254"
"3533","Gm10061"
"3534","Gm12021"
"3535","Gm46641"
"3536","Vmn2r-ps54"
"3537","Igkv4-92"
"3538","Psg29"
"3539","Gm11501"
"3540","Olfr539"
"3541","D130040H23Rik"
"3542","Gm38431"
"3543","Camk2d"
"3544","Bloc1s2-ps"
"3545","Gm28667"
"3546","Gm6158"
"3547","Gm42570"
"3548","Rnps1-ps"
"3549","Olfr1321"
"3550","Gm8862"
"3551","Gm5258"
"3552","Zfp58"
"3553","Gm2076"
"3554","Gm5951"
"3555","Gm7722"
"3556","Ms4a6d"
"3557","Olfr305"
"3558","Ms4a6c"
"3559","Gm18186"
"3560","Gm21978"
"3561","Rps4x-ps"
"3562","Gm45478"
"3563","Agtr1b"
"3564","ERCC-00046"
"3565","Olfr13"
"3566","Gm18182"
"3567","Gm8675"
"3568","Nxf2"
"3569","Slc7a15"
"3570","Gm48164"
"3571","Gtpbp4-ps1"
"3572","Kbtbd6"
"3573","Zgrf1"
"3574","Polr3gl"
"3575","Gm7595"
"3576","Tdpoz9"
"3577","Gapdh"
"3578","Gm5523"
"3579","Gm36262"
"3580","Olfr1408"
"3581","Gm9903"
"3582","Ifi202b"
"3583","Fabp5l2"
"3584","Dusp3"
"3585","Gm33121"
"3586","Fam160b2"
"3587","Gm42661"
"3588","Gm8141"
"3589","Olfr101"
"3590","Gm7856"
"3591","Vmn1r-ps97"
"3592","Gm47626"
"3593","Mthfsl"
"3594","Rtl8a"
"3595","Gm5338"
"3596","Gm7648"
"3597","Ceacam11"
"3598","1700007E05Rik"
"3599","Vmn1r35"
"3600","Gm9767"
"3601","Gm49810"
"3602","Pilra"
"3603","Olfr755-ps1"
"3604","Gm12993"
"3605","Gm8194"
"3606","Gm44520"
"3607","Gm48691"
"3608","Gm47455"
"3609","Gm12904"
"3610","Gm15357"
"3611","Ccnb1-ps"
"3612","Gm7669"
"3613","Olfr1183"
"3614","Gm9731"
"3615","Vmn2r40"
"3616","Akr1c19"
"3617","Trav9n-1"
"3618","Obox3-ps6"
"3619","Olfr857"
"3620","Gm29803"
"3621","Gm6914"
"3622","Olfr1094"
"3623","Gm47191"
"3624","H2-DMb1"
"3625","Fbxw16"
"3626","Olfr531"
"3627","Gm13120"
"3628","Gm1947"
"3629","Gm47969"
"3630","Pafah1b1-ps1"
"3631","Gm13930"
"3632","Gm9373"
"3633","Serpinb9d"
"3634","Olfr1343-ps1"
"3635","Anxa8"
"3636","ERCC-00130"
"3637","Vmn2r66"
"3638","Fbxw20"
"3639","Sprr2a2"
"3640","Gm15128"
"3641","Gm5638"
"3642","Gm28530"
"3643","Gm20128"
"3644","Igkv4-74"
"3645","Gm27018"
"3646","Gm7366"
"3647","Gm3550"
"3648","Gm13988"
"3649","Capza1-ps1"
"3650","Ctrb1"
"3651","Gm11434"
"3652","Gm48658"
"3653","Gm6284"
"3654","Gm12630"
"3655","4933407L21Rik"
"3656","Svs3b"
"3657","Gm29770"
"3658","Gm10608"
"3659","Gm45878"
"3660","Gm42677"
"3661","Gm14028"
"3662","Nudt16"
"3663","Zfp324"
"3664","Gm28710"
"3665","Gm9044"
"3666","Gm9040"
"3667","Gm7177"
"3668","Srp54c"
"3669","Gm49405"
"3670","Gm14150"
"3671","Dynlt1a"
"3672","Gm16976"
