"";"PC1";"PC2";"PC3";"PC4";"PC5";"PC6";"PC7";"PC8";"PC9";"PC10";"PC11";"PC12";"PC13";"PC14";"PC15";"PC16"
"Dlec1";-0,216933431724411;-0,0319452874443144;-0,0893242988307997;0,0881610135154886;-0,0965095266073731;-0,00303021661069775;-0,0184696822180079;0,0547417328276908;0,036273804225029;0,0648902471865981;-0,112607101788145;0,130439942629383;0,0638263904473711;0,021838574355525;-0,046858600252625;-0,0507754135474533
"U2af1l4";-0,0213753350112322;-0,0633052897963162;0,0325633283521186;0,0593543516378201;-0,0324802944345648;0,0609602802432169;0,00693457899403481;-0,00193676408351176;-0,0127880640275548;0,00785213552921405;0,0436188478672476;-0,0173324851066991;-0,0304725489503284;0,0208000421922073;-0,101383063724249;0,0295270671568618
"Gnal";-0,166455027829148;0,00438513909742938;0,0831067033599401;0,0140680959070189;0,0506871731979741;-0,0933393721886839;0,104561632657162;0,0149419822610814;-0,00915891674504446;0,0294902819837039;-0,086456832104106;0,0585296011996823;0,0130427002668788;0,0376622755562205;0,0597121279608791;-0,127656199700639
"Ints11";0,0348468200289087;-0,047467985946515;-0,00864524282501936;0,0136748333626844;-0,00501904203653449;-0,00264515530693982;-0,0137229929653889;-0,0682386729124256;0,068256405728913;0,0294565647952504;0,0484031562947786;-0,0260860313650265;-0,0304175706338154;-0,151251983267013;-0,061874370234997;-0,186783340318385
"Frg2f1";-0,0369390274951158;-0,0921065955572643;0,00173673738805097;0,0399948538585011;0,0405935490821242;0,047752760988332;0,0493311953311049;-0,046635180769545;-0,0184006603045743;-0,0543535031357181;0,00535740776630244;0,0489507779488417;-0,0243682766899982;-0,070016719026709;0,105539891410223;0,0104922493794822
"Lrrc40";0,0360219671080634;-0,0590287133406068;-0,00940873598577986;-0,00226441772342346;-0,041571912710655;-0,0453066736522255;-0,0840571071344864;0,0332219539283053;-0,0159302289415098;0,0134273248114654;0,0086443181535533;-0,180000869246357;-0,0194804958508271;0,104403442761081;0,0510544210466593;-0,0383395344112268
"Sdr39u1";-0,0778936720114572;0,00547039900091498;0,033131636710294;0,0270681429635559;0,0368526355573894;0,0266168116471117;-0,00295899326631576;-0,00491565861347699;0,0296025280537686;0,00223364305515729;-0,00926109772223306;0,0286857700075944;-0,0150325669846482;-0,0481901568203963;0,00103119556166826;-0,0187848560498338
"Mob2";-0,0157531918136456;-0,0660550752508147;-0,00811383868820281;0,0224316601267103;0,0623198533211417;-0,0639203939428711;0,0303423438144739;0,0265058408784163;-0,0103007273057439;-0,0398101201196215;0,0356452015249117;-0,0808583125224353;0,0175585128069395;-0,0300790323650143;-0,068687516709947;0,0138966227231816
"Gbp8";-0,304653838246471;-0,00823493203144217;-0,0591693689026325;-0,234211934405517;0,0739893040270038;-0,00399052280836114;-0,160167704088398;-0,14188883835539;0,0853713136336561;-0,282199013842119;0,0999885057922104;0,0172418984118437;-0,281294219357267;0,0982758730231925;-0,0362063071615457;0,0698445712638239
"Gm15794";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
